Category	Book Title	URL
Fiction	The Testaments (The Handmaid's Tale, #2)	https://www.goodreads.com/choiceawards/best-fiction-books-2019
Mystery & Thriller	The Silent Patient	https://www.goodreads.com/choiceawards/best-mystery-thriller-books-2019
Historical Fiction	Daisy Jones & The Six	https://www.goodreads.com/choiceawards/best-historical-fiction-books-2019
Fantasy	Ninth House (Alex Stern, #1)	https://www.goodreads.com/choiceawards/best-fantasy-books-2019
Romance	Red, White & Royal Blue	https://www.goodreads.com/choiceawards/best-romance-books-2019
Science Fiction	Recursion	https://www.goodreads.com/choiceawards/best-science-fiction-books-2019
Horror	The Institute	https://www.goodreads.com/choiceawards/best-horror-books-2019
Humor	Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life	https://www.goodreads.com/choiceawards/best-humor-books-2019
Nonfiction	Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals	https://www.goodreads.com/choiceawards/best-nonfiction-books-2019
Memoir & Autobiography	Over the Top: A Raw Journey to Self-Love	https://www.goodreads.com/choiceawards/best-memoir-autobiography-books-2019
History & Biography	The Five: The Untold Lives of the Women Killed by Jack the Ripper	https://www.goodreads.com/choiceawards/best-history-biography-books-2019
Science & Technology	Will My Cat Eat My Eyeballs? Big Questions from Tiny Mortals About Death	https://www.goodreads.com/choiceawards/best-science-technology-books-2019
Food & Cookbooks	Antoni in the Kitchen	https://www.goodreads.com/choiceawards/best-food-cookbooks-2019
Graphic Novels & Comics	Pumpkinheads	https://www.goodreads.com/choiceawards/best-graphic-novels-comics-2019
Poetry	SHOUT	https://www.goodreads.com/choiceawards/best-poetry-books-2019
Debut Novel	Red, White & Royal Blue	https://www.goodreads.com/choiceawards/best-debut-novel-2019
Young Adult Fiction	Five Feet Apart	https://www.goodreads.com/choiceawards/best-young-adult-fiction-books-2019
Young Adult Fantasy	The Wicked King (The Folk of the Air, #2)	https://www.goodreads.com/choiceawards/best-young-adult-fantasy-books-2019
Middle Grade & Children's	The Tyrant's Tomb (The Trials of Apollo, #4)	https://www.goodreads.com/choiceawards/best-childrens-books-2019
Picture Books	A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers	https://www.goodreads.com/choiceawards/best-picture-books-2019
